,departement,dep_nom,Nom lieu,Adresse postale,Numero de téléphone,Site Web,Nom Prenom du référent,Mail contact,Activites proposees,Activites-codes,Initions et/ou formations proposées,Formations-codes,Conditions d'acces,acces-codes,Public,publics-codes,APTIC,Date de mise a jour,URL illustration / Logo
44490,44,Loire-Atlantique,CCAS Le Croisic,3 Rue de la Duchesse Anne 44490 Le Croisic,02 28 56 79 00,https://www.loire-atlantique.fr/jcms/classement-des-contenus/lieux/par-types-de-lieu/service/centres-communaux-d-action-sociale-ccas/centre-communal-d-action-sociale-ccas-du-croisic-fr-t1_36195,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44490,44,Loire-Atlantique,Office de Tourisme,6 Rue du Pilori 44490 Le Croisic,02 40 23 00 70,http:/www.tourisme-lecroisic.fr/fr,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44500,44,Loire-Atlantique,Médiathèque Henri Queffelec,181 Avenue du Maréchal de Lattre de Tassigny 44500 La Baule-Escoublac,02 40 24 18 81,http://www.labaule.fr/bibliotheque-henri-queffelec,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44500,44,Loire-Atlantique,Office de Tourisme,8 Place de la Victoire 44500 La Baule-Escoublac,02 40 24 34 44,http://www.labaule-guerande.com,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44500,44,Loire-Atlantique,Pôle emploi,3 BIS Avenue des Noelles 44500 La Baule-Escoublac,0972 723 949,https://www.pole-emploi.fr/annuaire/la-baule-guerande-44016,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44510,44,Loire-Atlantique,Espace jeunes du Pouliguen,4 Rue Paul Lesage 44510 Le Pouliguen,06 15 20 96 05,https://www.annuaire-administration.com/cij/point-information-jeunesse-du-pouliguen-cij-44135-01.html,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,cotisation annuelle : 15€ pour les habitants / 20€ hors-commune,CondP,Espace jeunes à destination des 16-25 ans. Accès libre.,J,NR,,
44520,44,Loire-Atlantique,Bibliothèque La Meilleraye-de-Bretagne,72 Rue des Frères Temple 44520 La Meilleraye-de-Bretagne,02 28 50 44 78,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,Lieu de lecture et d'activités.,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44520,44,Loire-Atlantique,Blibliothèque Issé,2 Rue du Chêne Piraud 44520 Issé,02 40 55 17 56,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44521,44,Loire-Atlantique,Bibliothèque La Forge aux livres,Rue Saint-Jéréme 44521 Couffé,02 40 96 37 28,http://bibliofil.pays-ancenis.fr/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44521,44,Loire-Atlantique,Bibliothèque Moisdon-la-rivière,Place de l'église 44520 Moisdon-la-Rivière,02 40 07 59 88,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44522,44,Loire-Atlantique,Bibliothèque Les Milles et Une Pages,Boulevard des Arts/Rue des Arts 44522 Mésanger,02 40 96 86 87,http://bibliofil.pays-ancenis.fr/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44530,44,Loire-Atlantique,Bibliothèque de Saint Gildas des Bois,17 Rue des Forges 44530 Saint-Gildas-des-Bois,02 40 66 74 64,paysdepontchateau.fr/contacts/bibliotheque-de-st-gildas-des-bois,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44530,44,Loire-Atlantique,Maison de service au public,Rue de la Roche Buttée 44530 Guenrouet,NR,https://www.maisondeservicesaupublic.fr/content/guenrouet-bureau-de-poste,NR,msap.guenrouet@laposte.fr,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,13/01/2021,
44530,44,Loire-Atlantique,Médiathèque de Drefféac,1 Rue des Saules 44530 Drefféac,02 40 17 60 54,www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-dreffeac-2,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44530,44,Loire-Atlantique,Médiathèque de Guenrouèt,12 Rue André Caux 44530 Guenrouet,02 40 87 80 06,http://www.guenrouet.fr/la-bibliotheque-intercommunale,NR,NR,NR,NR,NR,NR,gratuit,G,NR,NR,NR,,
44530,44,Loire-Atlantique,Médiathèque de Sévérac,2 Rue de la Gagnerie 44530 Sévérac,02 40 88 73 23,http://www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-severac-2/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,Abonnement 11€ par an,CondP,NR,NR,NR,,
44530,44,Loire-Atlantique,Mission locale Saint-Gildas-des-bois,17 Rue des Forges 44530 Saint-Gildas-des-Bois,02 40 01 55 84,http://www.cc-paysdepontchateau.fr/contacts/mission-locale-rurale-du-sillon,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44530,44,Loire-Atlantique,Relais CAF,4 Rue de la Roche Buttée 44530 Guenrouet,NR,https://www.maisondeservicesaupublic.fr/content/guenrouet-bureau-de-poste,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44540,44,Loire-Atlantique,Bibliothèque Les mots passants,18 Avenue Charles Henri de Cosse Brissac (Saint-Mars-la-Jaille) 44540 Vallons-de-l'Erdre,02 40 97 37 26,http://bibliofil.pays-ancenis.fr/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44550,44,Loire-Atlantique,CCAS Montoir-de Bretagne,65 Rue Jean Jaurès 44550 Montoir-de-Bretagne,02 40 45 45 08,http://www.montoirdebretagne.fr/Vivre-ensemble/L-action-sociale,Centre Communale d'Action Sociale,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44550,44,Loire-Atlantique,Médiathèque Colette,Rue Jean Macé 44550 Saint-Malo-de-Guersac,02 40 91 10 21,http://mediatheque-colette.opac3d.fr/search.php?action=Accueil,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44550,44,Loire-Atlantique,Médiathèque municipale Barbara,7 Rue de Berry 44550 Montoir-de-Bretagne,02 40 70 11 51,http://www.mediatheque-montoir.fr,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44550,44,Loire-Atlantique,START'AIR Jeunes,3 Rue Pablo Neruda 44550 Montoir-de-Bretagne,02 40 45 11 92,http://www.startair.fr/montoir-de-bretagne,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44550,44,Loire-Atlantique,Start'Air Jeunes Saint-Malo-de-Guersac,52 Rue Aristide Briand 44550 Saint-Malo-de-Guersac,02 40 53 96 12,http://www.startair.fr/saint-malo-de-guersac,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,Habitant de Saint-Malo-de-Guersac : 7€ par an,CondP,NR,NR,NR,,
44560,44,Loire-Atlantique,Centre socioculturel intercommunal Espace multimédia ACCES CYB,33 Boulevard Dumesnildot 44560 Paimboeuf,02 40 27 51 77,https://www.csc-mireillemoyon.fr/ateliers-de-loisirs/ateliers-tout-public.html,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44570,44,Loire-Atlantique,Cybercentre Trignac,9 Rue Jean Jaurès 44570 Trignac,02 40 00 65 28,http://atlc-cybercentre-trignac.e-monsite.com/,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,12€ l'atelier + 8 € cotisation ATLC,CondP,NR,NR,NR,,
44570,44,Loire-Atlantique,Médiathèque Municipale de Trignac,Rue Émile Combes 44570 Trignac,02 40 90 32 66,http://www.mairie-trignac.fr/contacts/mediatheque-municipale,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44570,44,Loire-Atlantique,Pôle emploi Trignac,7 Avenue Barbara 44570 Trignac,09 72 72 39 49,https://www.pole-emploi.fr/annuaire/trignac-44194,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44570,44,Loire-Atlantique,Start'Air Jeunes,Allée des Prunus 44570 Trignac,02 40 61 81 22,NR,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44580,44,Loire-Atlantique,Maison de services au public,15 Rue de la Taillée (Bourgneuf-en-Retz) 44580 Villeneuve-en-Retz,NR,https://www.maisondeservicesaupublic.fr/content/villeneuve-en-retz-bureau-de-poste,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Axetic,45 Rue de Châteaubriant 44590 Sion-les-Mines,06 41 70 45 32,https://www.axetic.fr/contacts,NR,NR,création de site web,NR,NR,NR,NR,NR,NR,NR,NR,,
44590,44,Loire-Atlantique,Mairie Saint Vincent des Landes,17 Rue de la Mairie 44590 Saint-Vincent-des-Landes,02 40 55 38 29,http://www.mairie-stvincentdeslandes.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Maison de l'emploi Derval,14 Rue de la Garlais 44590 Derval,02 40 81 82 26,http://www.mde-chateaubriant-derval.fr/site-de-derval/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Médiathèque de Derval,15 Rue de la Tour Saint-Clair 44590 Derval,02 40 28 03 96,http://www.biblios-ccsd.net,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Médiathèque de Lusanger,1 Rue de la Gare 44590 Lusanger,02 40 07 65 10,https://www.mobilis-paysdelaloire.fr/annuaire/bibliotheques/bibliotheque-intecommunale-au-fil-mots-lusanger,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Médiathèque de Mouais,3 Place de l'église 44590 Mouais,02 40 07 67 34,http://www.biblios-ccsd.net/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44590,44,Loire-Atlantique,Médiathèque de Sion-les-Mines,1 Place du Breil 44590 Sion-les-Mines,02 40 28 96 09,https://mediatheques.cc-chateaubriant-derval.fr/accueil/sion_les_mines,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,C.C.A.S Centre Communal Action Sociale,37 Rue Pierre Mendès France 44600 Saint-Nazaire,02 40 17 19 99,https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-d-agglomeration-de-la-region-nazairienne-et-de-l-estuaire/centre-communal-d-action-sociale-ccas-de-saint-nazaire-fr-t1_35938,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,"Centre Information Jeunesse ""La Source""",46 rue d'Anjou 44606 Saint-Nazaire,02 51 10 11 20,https://lasource.saintnazaire.fr/accueil,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,CondP,CondP,NR,NR,NR,,
44600,44,Loire-Atlantique,Ecole d'Arts - Ateliers numériques,24 Avenue Léon Blum 44600 Saint-Nazaire,02 47 27 24 08,https://beauxartsnantes.fr/biblioth%C3%A8que-beaux-arts-nantes,NR,NR,Création numérique Utilisation de logiciel payant (photoshop),PrMa-PrLo-CuNu-CuFa,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,Ateliers: 30€ pour les habitants20€ pour les -25ans 60€ hors-commune 40€ pour -25ans hors-communeaccès à l'ordinateur et libre et gratuit,CondP,NR,NR,NR,,
44600,44,Loire-Atlantique,Espace Multimédia Léo Lagrange,1 BIS Rue des Ajoncs 44600 Saint-Nazaire,02 28 55 99 73,http://espacemultimedia.over-blog.org/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier d'Avalix,3 Rue du Docteur Albert Calmette 44600 Saint-Nazaire,02 40 70 95 92,http://www.fmq-saintnazaire.fr/bienvenue/index.php/contactez-nous/11-maison-de-quartier-avalix-quartiers-nord,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,adultes : 7€ enfants et jeunes jusqu'à 25 ans : 4€ familles : 11€ associations : 30€,CondP,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier de l'Immaculée- Beauregard,Route du Point du Jour 44600 Saint-Nazaire,02 51 10 11 20,http://www.fmq-saintnazaire.fr/bienvenue/index.php/contactez-nous/14-federation-des-maisons-de-quartier-3,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,sur Rendez-vous.,CondP,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier de Méan- Penhoë,1 Rue Émile Combes 44600 Saint-Nazaire,02 40 66 04 50,http://www.fmq-saintnazaire.fr/bienvenue/index.php/contactez-nous/16-maison-de-quartier-avalix-quartiers-nord-2,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier Kerlédé,70 Rue Ferdinand Buisson 44600 Saint-Nazaire,02 40 53 50 00,http://www.fmq-saintnazaire.fr/bienvenue/index.php/contactez-nous/15-federation-des-maisons-de-quartier-4,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier La Bouletterie,29 Rue des Frènes 44600 Saint-Nazaire,02 40 70 35 22,http://www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/la-bouletterie,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Maison de quartier La Chesnaie,1 BIS Rue des Ajoncs 44600 Saint-Nazaire,02 28 55 99 90,http://www.fmq-saintnazaire.fr/bienvenue/index.php/les-maisons-de-quartier/la-chesnaie,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Médiathèque Anne-Frank,51 Boulevard émile Broodcoorens 44600 Saint-Nazaire, 02 44 73 45 38,https://mediatheque.mairie-saintnazaire.fr/,NR,NR,Ateliers numériques Jeux-vidéos,PrMa-PrLo-CuNu-CuFa,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Médiathèque Etienne Caux,6 Rue Auguste Baptiste Léchöet 44600 Saint-Nazaire,02 44 73 45 60,http://www.mediatheque.mairie-saintnazaire.fr,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,CondP,CondP,NR,NR,NR,,
44600,44,Loire-Atlantique,Mission Locale de l'Agglomération Nazairienne,215 Boulevard du Docteur René Laennec 44600 Saint-Nazaire,02 40 22 50 30,https://www.facebook.com/missionlocaleagglomerationnazairienne,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Pôle emploi,10 Boulevard de l'Université 44600 Saint-Nazaire,09 72 72 39 49,https://www.pole-emploi.fr/annuaire/st-nazaire-44021,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44600,44,Loire-Atlantique,Relais CAF,2 Place Pierre Semard 44600 Saint-Nazaire,0 810 25 44 10,https://www.loire-atlantique.fr/jcms/classement-des-contenus/par-territoire/communaute-d-agglomeration-de-la-region-nazairienne-et-de-l-estuaire/caf-antenne-de-saint-nazaire-fr-p1_638486,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44610,44,Loire Atlantique,Le Tiers Lieu,Maison des associations 2 rue du stade 44610 INDRE,02 40 85 46 15,www.acleea.fr,Girard David,NR,Prise en main du matérielPrise en main des logiciels de basePrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numérique,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu,Formations collectivesFormations individuellesInitiationsAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,Conditions particulières,CondP,Tous publics,Tp,Non,17/06/2020,https://acleea.pagesperso-orange.fr/images/tierslieu_full.png
44610,44,Loire-Atlantique,Mairie d'Indre,Avenue de la Loire 44610 Indre,02 40 85 45 88,http://www.indre44.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44630,44,Loire-Atlantique,Médiathèque du Plessé,3 Espace des 3 Lieux 44630 Plessé,02 40 79 60 14,http://mairie-plesse.fr/module-Contenus-viewpub-tid-2-pid-104.html,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,14€ annuel / gratuit : -18 ans,CondP,bénéficiaires minima sociaux et demandeurs d'emploi,De,NR,,
44650,44,Loire-Atlantique,Bibliothèque de Corcoué-sur-Logne,5 Place du Marche 44650 Corcoué-sur-Logne,02 40 05 87 28,http://laplaceauxlivres.opac3d.fr,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44650,44,Loire-Atlantique,Bibliothèque de Legé,37 Rue de la Chaussée 44650 Legé,02 28 21 62 20,http://bibliotheque-lege.opac3d.fr/search.php?action=Accueil,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44660,44,Loire-Atlantique,Bibliothèque de Fercé,9 Rue de la Mairie 44660 Fercé,02 40 28 75 53,https://castelbriantais.e-sezhame.fr/node/content/nid/14366,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44660,44,Loire-Atlantique,Bibliotheque de Rougé,1 Rue du Vieux Rouge 44660 Rougé,02 40 28 70 30,http://castelbriantais.e-sezhame.fr/node/content/nid/14408,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,Gratuite pour les résidents du territoire,CondP,NR,NR,NR,,
44660,44,Loire-Atlantique,Bibliotheque de Ruffigné,Rue des Jonquilles 44660 Ruffigné,02 28 04 02 71,http://castelbriantais.e-sezhame.fr/node/content/nid/14409,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44660,44,Loire-Atlantique,Bibliotheque de Soulvache,2 Rue de la Brutz 44660 Soulvache,02 40 07 76 15,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44670,44,Loire-Atlantique,Bibliothèque Juigné-des-Moutiers,15 Chemin des écoliers 44670 Juigné-des-Moutiers,02 28 04 09 34,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44670,44,Loire-Atlantique,Bibliothèque La chapelle glain,Saint-René 44670 La Chapelle-Glain,02 40 81 03 33,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44670,44,Loire-Atlantique,Bibliothèque Petit auverné,7 Rue Sophie Trébuchet 44670 Petit-Auverné,02 40 07 79 76,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44670,44,Loire-Atlantique,Blibliothèque Saint-Julien-de-Vouvantes,39 Rue de la Libération 44670 Saint-Julien-de-Vouvantes,02 40 07 24 76,http://www.cc-castelbriantais.fr/reseau-des-bibliotheques,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44670,44,Loire-Atlantique,Relais Accueil Proximité Petit auverné,7 Rue Sophie Trébuchet 44670 Petit-Auverné,02 40 55 59 32,http://www.rap-relais-accueil-proximite.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,CondP,CondP,NR,NR,NR,,
44680,44,Loire-Atlantique,Bibliothèque A Livre Ouvert,32 Avenue de la Source 44680 Sainte-Pazanne,02 40 02 69 13,http://www.bibliotheque-sainte-pazanne.net/,NR,NR,NR,NR,NR,NR,gratuit,G,gratuit : étudiants et demandeurs d'emploi,NR,NR,,
44680,44,Loire-Atlantique,Bibliothèque Les Mots Passants,3 BIS Rue de la Bonne Fontaine 44680 Saint-Hilaire-de-Chalôns,02 40 31 73 30,http://www.saint-hilaire-de-chaleons.fr/biliotheque-2/,NR,NR,NR,NR,NR,NR,gratuit,G,NR,NR,NR,,
44680,44,Loire-Atlantique,Centre Médico-Social,11 Rue de l'Auditoire 44680 Sainte-Pazanne,02 28 25 09 80,https://www.loire-atlantique.fr/jcms/classement-des-contenus/lieux/selectionner-un-theme/enfance-famille/grossesse-et-conseils-aux-futurs-parents/espace-departemental-des-solidarites-pornic-sainte-pazanne-site-de-sainte-pazanne-fr-t1_11258,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44680,44,Loire-Atlantique,Cybercentre du Pays de Retz,1 Rue de Bazouin 44680 Sainte-Pazanne,02 40 02 42 15,http://annuaire.mediation-numerique.fr/epn_376.html,NR,NR,Prise en main du matérielPrise en main des logiciels de basePremiers pas sur internetDémarches administratives en ligneApprofondissement logicielsApprofondissement internetCulture numériqueConseils,PrMa-PrLo-PrIn-DeAd-ApLo-ApIn-CuNu-Co,InitiationsFormation individuellesFormations collectivesAccompagnements collectifsAccompagnements individuelsAutonomie,FoCo-FoIn-In-AcCo-AcIn-Au,NR,NR,NR,NR,NR,,
44680,44,Loire-Atlantique,Mairie Sainte Pazanne,10 Rue de l'Hôtel de Ville 44680 Sainte-Pazanne,02 40 02 43 74,http://www.sainte-pazanne.fr/,NR,NR,Démarches administratives en ligneConseils,DeAd-Co,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
44700,44,Loire-Atlantique,Bibliothèque municipales d'Orvault,2 Promenade de l'Europe 44700 Orvault,02 51 78 98 60,http://www.bibliotheques-orvault.fr/,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,NR,NR,NR,NR,NR,,
44710,44,Loire-Atlantique,Anim'Action,27 Rue de Pornic 44710 Port-Saint-Père,02 40 31 53 18,http://www.animaction.asso.fr/,NR,NR,NR,NR,NR,NR,Gratuit ou prix réduit,CondP,NR,NR,NR,,
44710,44,Loire-Atlantique,"Médiathèque Municipale ""Livres y Médias""",2 Rue de la Morinière 44710 Port-Saint-Père,02 40 21 78 27,https//www.saintpereenretz.fr/bouger/culture/mediatheque.html,NR,NR,Espace de lecture et d'accès numérique.,LeAc-CuNu,InitiationsAccompagnements individuelsAutonomie,In-AcIn-Au,gratuit,G,NR,NR,NR,,
