INDEX,SOURCE,SOURCE_codes,NOM DU LIEU,ADRESSE,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district
pingcarto85_,CGET,CGET,PlaceToCo,Immeuble Philae ZAC de la Colleraye  44260 Savenay,47.359186,-1.943558,Place de l’Hôtel de Ville 44260 Savenay,0.42,street,44195_0660,,Place de l’Hôtel de Ville,,44260,Savenay,"44, Loire-Atlantique, Pays de la Loire",44195,,,
pingcarto86_,CGET,CGET,L'Usine-Tribu Créative,4 rue Marie Curie P.A. Vendée sud Loire 1,43.247391,5.550263,4 Rue I et Frederic Joliot Curie 13470 Carnoux-en-Provence,0.28,housenumber,13119_0078_00004,4,Rue I et Frederic Joliot Curie,,13470,Carnoux-en-Provence,"13, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur",13119,,,
pingcarto87_,CGET – CAP Tiers-Lieux,CGET-CAPTL,Food Lab Solidaire,Allée des caves 49650 Brain sur Allonnes,47.307477,0.063626,Allée des Caves 49650 Brain-sur-Allonnes,0.95,street,49041_0040,,Allée des Caves,,49650,Brain-sur-Allonnes,"49, Maine-et-Loire, Pays de la Loire",49041,,,
pingcarto88_,CGET,CGET,Le Palace,4 rue Voltaire 44000 Nantes,47.212822,-1.563372,4 Rue Voltaire 44000 Nantes,0.98,housenumber,44109_8568_00004,4,Rue Voltaire,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto89_,CGET – CAP Tiers-Lieux,CGET-CAPTL,La Bernitude,28 Rue des Courettes 44760 La Bernerie-en-Retz,47.079848,-2.034546,28 Avenue des Courettes 44760 La Bernerie-en-Retz,0.83,housenumber,44012_zvfb5i_00028,28,Avenue des Courettes,,44760,La Bernerie-en-Retz,"44, Loire-Atlantique, Pays de la Loire",44012,,,
pingcarto90_,CGET – CAP Tiers-Lieux,CGET-CAPTL,La Mine au Tri,13 Rue du Huit Mai 44650 Corcoué-sur-Logne,46.969163,-1.575698,13 Rue du 8 Mai 44650 Corcoué-sur-Logne,0.81,housenumber,44156_0146_00013,13,Rue du 8 Mai,,44650,Corcoué-sur-Logne,"44, Loire-Atlantique, Pays de la Loire",44156,,,
pingcarto91_,CGET – CAP Tiers-Lieux,CGET-CAPTL," Château de Landebaudière 
",Rue du Commandant Sauvageot 85130 La Gaubretière,46.945081,-1.06838,Rue du Commandant Sauvageot 85130 La Gaubretière,0.96,street,85097_0099,,Rue du Commandant Sauvageot,,85130,La Gaubretière,"85, Vendée, Pays de la Loire",85097,,,
pingcarto92_,CGET,CGET,Le Centre & Co,10 Rue octave voyer 85100 Les Sables d'Olonne,46.498983,-1.784464,10 Rue Octave Voyer 85100 Les Sables-d'Olonne,0.96,housenumber,85194_2280_00010,10,Rue Octave Voyer,,85100,Les Sables-d'Olonne,"85, Vendée, Pays de la Loire",85194,85194,Les Sables-d'Olonne,
pingcarto93_,CGET,CGET,Le Cercle Pointu,Rue de la Broderie 49120 Chemillé-en-Anjou,47.214158,-0.796692,Rue de la Borderie (la Chapelle-Rousselin) 49120 Chemillé-en-Anjou,0.59,street,49092_3dlc7y,,Rue de la Borderie (la Chapelle-Rousselin),,49120,Chemillé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49092,49074,La Chapelle-Rousselin,
pingcarto94_,CGET,CGET,Le Puzzle,24 rue Crébillon 44000 Nantes,47.213432,-1.561586,24 Rue Crébillon 44000 Nantes,0.98,housenumber,44109_2300_00024,24,Rue Crébillon,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto95_,CGET,CGET,Loircowork,"Zone d’Activités Economiques de l’Aurière 72340 Loir en Vallée
",47.746946,0.611363,Rue de l’Activité 72340 Loir en Vallée,0.57,street,72262_0021,,Rue de l’Activité,,72340,Loir en Vallée,"72, Sarthe, Pays de la Loire",72262,72262,Ruillé-sur-Loir,
pingcarto96_,CGET,CGET,Work in Excess,182 rue paul Bellamy 44000 Nantes,47.230972,-1.563801,182 Rue Paul Bellamy 44000 Nantes,0.99,housenumber,44109_6200_00182,182,Rue Paul Bellamy,,44000,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto97_,CGET,CGET,Le Jardin,36 avenue Albert Mun 44600 Saint-Nazaire,47.27842,-2.20926,36 Avenue Albert de Mun 44600 Saint-Nazaire,0.91,housenumber,44184_0060_00036,36,Avenue Albert de Mun,,44600,Saint-Nazaire,"44, Loire-Atlantique, Pays de la Loire",44184,,,
pingcarto98_,CGET – CAP Tiers-Lieux,CGET-CAPTL,L'Archipel,Zone Artisanale du Mottay 53240 Montflours,48.178437,-0.78801,Zone Artisanale 53240 Andouillé,0.48,locality,53005_c361,,Zone Artisanale,,53240,Andouillé,"53, Mayenne, Pays de la Loire",53005,,,
pingcarto99_,CGET,CGET,Hacoona,223 avenue des alliés 44150 Ancenis,47.367749,-1.172869,223 Avenue des Alliés 44150 Ancenis-Saint-Géréon,0.74,housenumber,44003_0012_00223,223,Avenue des Alliés,,44150,Ancenis-Saint-Géréon,"44, Loire-Atlantique, Pays de la Loire",44003,,,
pingcarto100_,CGET,CGET, LE 67 ateliers de créateurs , 67 rue du millau  44000 Nantes,47.26094,-1.525674,67 Rue du Millau 44300 Nantes,0.86,housenumber,44109_5652_00067,67,Rue du Millau,,44300,Nantes,"44, Loire-Atlantique, Pays de la Loire",44109,,,
pingcarto101_,CGET,CGET," Le Jardin 
", 36 avenue Albert de Mun 44600 Saint-Nazaire,47.27842,-2.20926,36 Avenue Albert de Mun 44600 Saint-Nazaire,0.98,housenumber,44184_0060_00036,36,Avenue Albert de Mun,,44600,Saint-Nazaire,"44, Loire-Atlantique, Pays de la Loire",44184,,,
pingcarto102_,CGET – CAP Tiers-Lieux,CGET-CAPTL,Le Planty ,8 rue des écoles 49460 Ecuillé ,47.615311,-0.563427,8 Rue des Ecoles 49460 Écuillé,0.95,housenumber,49130_0012_00008,8,Rue des Ecoles,,49460,Écuillé,"49, Maine-et-Loire, Pays de la Loire",49130,,,
pingcarto103_,CGET – CAP Tiers-Lieux,CGET-CAPTL,Le Tiers-Lieu du Montreuillais , rue de l'Europe 49260 Montreuil-Bellay ,47.125211,-0.138026,Rue d’Europe 49260 Montreuil-Bellay,0.83,locality,49215_0806,,Rue d’Europe,,49260,Montreuil-Bellay,"49, Maine-et-Loire, Pays de la Loire",49215,,,
pingcarto104_,CGET – PiNG,CGET-PiNG,Le Thiers lieu, 12 rue thiers 49000 Angers ,47.443057,-0.567481,12 Rue du Lierre 49000 Angers,0.62,housenumber,49007_4813_00012,12,Rue du Lierre,,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,
